# partition_overlap_shell_SrTiO3.csv - scripts/scan_partition_sensitivity.py
# Per-mode Route S vs Route H comparison over the 150-200 cm-1 shell at 300 K.
# gamma_S = -D/(2*omega0^2); gamma_H = -D/(2*omega_r^2), omega_r from the
# 300 K bare->renormalized eigenvalue map; rel_diff = (gamma_H-gamma_S)/|gamma_S|.
q_index,branch,omega0_cm1,omega_r_cm1,D_cm2,gamma_S,gamma_H,rel_diff
125,6,169.3118,194.8184,-254.0418,0.004431,0.003347,-0.244709
125,7,199.3402,228.9872,537.9741,-0.006769,-0.005130,0.242178
126,5,173.2883,194.9074,4415.5062,-0.073521,-0.058116,0.209537
126,6,176.8875,208.6933,-368.3911,0.005887,0.004229,-0.281582
127,5,173.2883,194.9074,4415.5062,-0.073521,-0.058116,0.209537
127,6,176.8875,208.6933,-368.3911,0.005887,0.004229,-0.281582
128,5,167.9085,195.6847,3933.8563,-0.069766,-0.051366,0.263740
128,6,169.3118,194.8184,-254.0418,0.004431,0.003347,-0.244709
128,7,199.3402,228.9872,537.9741,-0.006769,-0.005130,0.242178
129,5,154.1963,181.2508,-61770.2431,1.298977,0.940133,-0.276251
129,6,154.2438,181.2716,65046.3389,-1.367028,-0.989768,0.275971
129,7,182.3716,213.2785,873.0111,-0.013124,-0.009596,0.268827
130,6,151.1262,194.3537,-648.3101,0.014193,0.008582,-0.395364
130,7,171.7638,198.5474,127.0649,-0.002153,-0.001612,0.251598
131,6,155.0374,181.8102,-1393.4252,0.028986,0.021077,-0.272830
131,7,163.1188,188.1022,234.7549,-0.004411,-0.003317,0.247996
131,8,177.8464,207.4827,594.4125,-0.009397,-0.006904,0.265273
132,6,155.0374,181.8102,14446.8635,-0.300518,-0.218528,0.272830
132,7,163.1188,188.1022,-125934.6196,2.366504,1.779620,-0.247996
132,8,177.8464,207.4827,558827.4216,-8.834004,-6.490585,0.265273
133,6,162.9183,188.0726,-60226.5991,1.134537,0.851349,-0.249607
133,7,176.9123,208.6621,-73117.3326,1.168085,0.839659,-0.281166
133,8,176.9123,208.6621,480502.6059,-7.676260,-5.517960,0.281166
134,6,173.5524,196.8089,-67675.6142,1.123417,0.873600,-0.222372
134,7,173.8422,198.6430,290467.9824,-4.805715,-3.680625,0.234115
135,5,168.3959,194.8630,90858.6317,-1.602038,-1.196403,0.253200
135,6,172.2358,197.4312,-81809.6259,1.378884,1.049405,-0.238946
135,7,187.9721,213.3861,-182868.4486,2.587749,2.008058,-0.224013
136,4,160.8842,190.6590,32167.0948,-0.621377,-0.442453,0.287948
136,5,162.2677,187.9766,-256289.5997,4.866725,3.626547,-0.254828
136,6,186.8165,216.4994,-5838.9927,0.083652,0.062287,-0.255410
137,4,154.2329,181.2668,-90715.7706,1.906772,1.380436,-0.276035
137,5,168.9289,193.9578,-206049.1891,3.610213,2.738585,-0.241434
137,6,192.4086,224.9646,6111.7969,-0.082545,-0.060382,0.268489
138,4,154.2329,181.2668,-90715.7706,1.906772,1.380436,-0.276035
138,5,168.9289,193.9578,-206049.1891,3.610213,2.738585,-0.241434
138,6,192.4086,224.9646,6111.7969,-0.082545,-0.060382,0.268489
139,4,160.8842,190.6590,32167.0948,-0.621377,-0.442453,0.287948
139,5,162.2677,187.9766,-256289.5997,4.866725,3.626547,-0.254828
139,6,186.8165,216.4994,-5838.9927,0.083652,0.062287,-0.255410
140,5,168.3959,194.8630,90858.6317,-1.602038,-1.196403,0.253200
140,6,172.2358,197.4312,-81809.6259,1.378884,1.049405,-0.238946
140,7,187.9721,213.3861,-182868.4486,2.587749,2.008058,-0.224013
141,6,173.5524,196.8089,-67675.6142,1.123417,0.873600,-0.222372
141,7,173.8422,198.6430,290467.9824,-4.805715,-3.680625,0.234115
142,6,162.9183,188.0726,-60226.5991,1.134537,0.851349,-0.249607
142,7,176.9123,208.6621,-73117.3326,1.168085,0.839659,-0.281166
142,8,176.9123,208.6621,480502.6059,-7.676260,-5.517960,0.281166
143,6,151.1262,194.3537,23996.2422,-0.525332,-0.317634,0.395364
143,7,171.7638,198.5474,226627.1301,-3.840772,-2.874440,0.251598
144,6,173.5524,196.8089,-69052.2758,1.146270,0.891371,-0.222372
144,7,173.8422,198.6430,224861.7402,-3.720277,-2.849304,0.234115
145,6,175.3578,207.2995,96166.2111,-1.563661,-1.118913,0.284427
146,4,159.7666,195.8256,7384.1806,-0.144644,-0.096279,0.334369
146,5,173.5131,196.5100,-185648.5714,3.083166,2.403765,-0.220358
146,6,175.9483,209.8659,-70574.0363,1.139843,0.801182,-0.297112
147,4,170.5950,202.1966,-170694.9530,2.932636,2.087580,-0.288156
147,5,172.8668,195.9237,-114336.0675,1.913065,1.489291,-0.221516
147,6,189.2145,215.7782,-132753.8152,1.853994,1.425613,-0.231058
148,4,167.5839,196.2287,-243089.9149,4.327852,3.156545,-0.270644
148,5,181.6083,212.3566,-165980.0012,2.516255,1.840324,-0.268626
148,6,192.2522,224.1652,-14394.4710,0.194726,0.143228,-0.264460
149,4,167.5839,196.2287,-243089.9149,4.327852,3.156545,-0.270644
149,5,181.6083,212.3566,-165980.0012,2.516255,1.840324,-0.268626
149,6,192.2522,224.1652,-14394.4710,0.194726,0.143228,-0.264460
